max_depth,n_learner,f1_score,elapsed_time,total_score
138,14,0.954764257,0.341156244,0.809941132
56,14,0.95226711,0.291050196,0.890446106
56,14,0.95226711,0.291404009,0.89043903
56,14,0.95226711,0.288028717,0.890506536
56,14,0.95226711,0.285441875,0.890558273
56,14,0.95226711,0.284335613,0.890580398
56,14,0.95226711,0.331539631,0.889636318
56,14,0.95226711,0.294628859,0.890374533
56,14,0.95226711,0.324868679,0.889769737
149,14,0.954764257,0.340386629,0.798956525
38,14,0.944754762,0.323943377,0.900275894
38,96,0.953307937,1.933875084,0.876630435
38,14,0.944754762,0.319259882,0.900369564
38,14,0.944754762,0.315722466,0.900440313
38,14,0.944754762,0.384707451,0.899060613
56,14,0.95226711,0.291959524,0.89042792
38,14,0.944754762,0.291713953,0.900920483
81,14,0.954764257,0.287475586,0.868014746
38,14,0.944754762,0.300781012,0.900739142
38,14,0.944754762,0.313305855,0.900488645
56,14,0.95226711,0.294027805,0.890386554
56,109,0.956323844,2.346794367,0.853387957
38,14,0.944754762,0.324147701,0.900271808
56,14,0.95226711,0.347534657,0.889316417
52,14,0.953165905,0.328308821,0.894599729
38,14,0.944754762,0.302915812,0.900696446
38,14,0.944754762,0.288143158,0.900991899
38,14,0.944754762,0.287207127,0.901010619
49,14,0.952482307,0.296165466,0.897558998
118,14,0.954764257,0.308888197,0.830586493
38,14,0.944754762,0.299672604,0.90076131
38,14,0.944754762,0.307163477,0.900611492
56,14,0.95226711,0.285231352,0.890562483
38,14,0.944754762,0.28495574,0.901055647
38,14,0.944754762,0.31120944,0.900530573
38,14,0.944754762,0.318115234,0.900392457
56,14,0.95226711,0.299021721,0.890286676
33,14,0.931483705,0.313724041,0.892209224
38,14,0.944754762,0.313253403,0.900489694
38,14,0.944754762,0.282639027,0.901101981
38,14,0.944754762,0.28441,0.901066562
38,14,0.944754762,0.295773268,0.900839297
49,14,0.952482307,0.285722971,0.897767848
38,14,0.944754762,0.284970522,0.901055352
38,14,0.944754762,0.338626862,0.899982225
49,14,0.952482307,0.298008919,0.897522129
38,14,0.944754762,0.360244274,0.899549876
49,14,0.952482307,0.295644283,0.897569422
38,14,0.944754762,0.342498302,0.899904796
38,14,0.944754762,0.283290625,0.901088949
38,14,0.944754762,0.29731369,0.900808488
38,78,0.954572397,1.490690231,0.886758592
38,14,0.944754762,0.33923316,0.899970099
38,14,0.944754762,0.283628941,0.901082183
38,14,0.944754762,0.297027349,0.900814215
38,14,0.944754762,0.281563759,0.901123487
38,14,0.944754762,0.314855337,0.900457655
38,14,0.944754762,0.329505682,0.900164648
38,14,0.944754762,0.30582428,0.900638276
38,14,0.944754762,0.281536341,0.901124035
38,14,0.944754762,0.316017151,0.900434419
