max_depth,n_learner,f1_score,elapsed_time,total_score
52,8,0.950882544,0.9898839,0.888983705
38,45,0.903358541,5.239456177,0.812963979
47,8,0.929217367,0.949910879,0.872718258
52,8,0.950882544,0.959880352,0.889283741
38,8,0.821840113,0.949868441,0.774341429
56,8,0.952716385,0.949943304,0.887216952
56,8,0.952716385,0.959909678,0.887117288
38,8,0.821840113,0.939893007,0.774441183
52,8,0.950882544,0.969886065,0.889183684
38,8,0.821840113,0.939881563,0.774441297
38,36,0.904576375,4.339459419,0.823181781
38,8,0.821840113,0.939890623,0.774441207
49,8,0.950319199,0.949869394,0.891820505
84,8,0.951728165,0.93988061,0.858329359
38,8,0.821840113,0.949883938,0.774341274
52,8,0.950882544,0.979890585,0.889083638
52,8,0.950882544,0.949908257,0.889383462
52,8,0.950882544,0.949902534,0.889383519
49,8,0.950319199,0.949883699,0.891820362
52,8,0.950882544,0.959884644,0.889283698
38,8,0.821840113,0.94990778,0.774341035
38,8,0.821840113,0.949888945,0.774341224
49,8,0.950319199,0.949879408,0.891820405
38,8,0.821840113,0.939884901,0.774441264
38,8,0.821840113,0.969892025,0.774141193
38,8,0.821840113,0.95986557,0.774241457
38,8,0.821840113,0.939888,0.774441233
38,8,0.821840113,0.949936867,0.774340744
49,8,0.950319199,0.949899912,0.8918202
38,8,0.821840113,0.939893484,0.774441178
6,8,0.036812889,0.959870577,0.021214183
49,8,0.950319199,0.939872742,0.891920472
38,8,0.821840113,0.92991662,0.774540947
49,8,0.950319199,0.959885359,0.891720346
38,8,0.821840113,0.939895153,0.774441162
49,8,0.950319199,0.949899912,0.8918202
49,39,0.952870332,4.459453583,0.859275796
49,8,0.950319199,0.94988513,0.891820348
49,8,0.950319199,0.949951887,0.891819681
49,8,0.950319199,0.949885368,0.891820346
49,8,0.950319199,0.959914684,0.891720053
49,8,0.950319199,0.95988512,0.891720348
49,8,0.950319199,0.96988225,0.891620377
49,8,0.950319199,0.989877462,0.891420425
49,8,0.950319199,0.949880123,0.891820398
49,8,0.950319199,0.929903507,0.892020164
49,8,0.950319199,0.949906349,0.891820136
49,21,0.954581964,2.409678459,0.881485179
49,8,0.950319199,0.989897966,0.89142022
49,8,0.950319199,0.94987607,0.891820439
49,8,0.950319199,0.939893007,0.891920269
49,8,0.950319199,0.949961901,0.89181958
60,8,0.934417368,0.929937124,0.865117997
49,8,0.950319199,0.949919701,0.891820002
49,8,0.950319199,0.939894915,0.89192025
49,8,0.950319199,0.94989872,0.891820212
68,8,0.953022013,0.939888954,0.875623123
49,8,0.950319199,0.939966202,0.891919537
49,8,0.950319199,0.939899683,0.891920203
49,8,0.950319199,0.939903736,0.891920162
49,8,0.950319199,0.929884672,0.892020353
49,8,0.950319199,0.959881544,0.891720384
13,8,0.293032514,0.949887276,0.270533641
49,8,0.950319199,0.949956894,0.891819631
49,8,0.950319199,0.939878225,0.891920417
49,8,0.950319199,0.959878206,0.891720417
49,8,0.950319199,0.929892302,0.892020276
68,12,0.955672335,1.389823914,0.873774096
68,8,0.953022013,0.929863691,0.875723376
68,8,0.953022013,0.929882526,0.875723187
49,8,0.950319199,0.929881811,0.892020381
68,8,0.953022013,0.939880371,0.875623209
49,8,0.950319199,0.939911366,0.891920086
68,8,0.953022013,0.979873657,0.875223276
68,7,0.952483279,0.839898109,0.876084298
100,8,0.94882289,0.969879627,0.839124094
49,8,0.950319199,0.949898243,0.891820217
68,8,0.953022013,0.92988348,0.875723178
68,8,0.953022013,0.929866314,0.87572335
49,8,0.950319199,0.939916611,0.891920033
68,8,0.953022013,0.92987442,0.875723268
68,8,0.953022013,0.929867983,0.875723333
68,8,0.953022013,0.92987752,0.875723237
68,8,0.953022013,0.919888496,0.875823128
49,8,0.950319199,0.929885626,0.892020343
89,8,0.94866229,0.929881573,0.850363475
68,8,0.953022013,0.969860315,0.87532341
68,8,0.953022013,0.955905914,0.875462954
68,8,0.953022013,0.969862461,0.875323388
49,8,0.950319199,0.939942837,0.891919771
92,8,0.948285746,0.929891825,0.846986828
49,8,0.950319199,0.939887285,0.891920327
49,5,0.934849913,0.589911699,0.879950796
49,8,0.950319199,0.949880362,0.891820396
49,8,0.950319199,0.94988513,0.891820348
49,8,0.950319199,0.959893465,0.891720265
49,8,0.950319199,0.949876547,0.891820434
49,8,0.950319199,0.939889193,0.891920308
49,8,0.950319199,0.93994379,0.891919762
49,8,0.950319199,0.949868441,0.891820515
49,8,0.950319199,0.959901094,0.891720188
49,8,0.950319199,0.949883938,0.89182036
49,8,0.950319199,0.959966421,0.891719535
49,8,0.950319199,0.949879646,0.891820403
78,8,0.953142084,0.919896603,0.865943118
49,8,0.950319199,0.959882975,0.89172037
49,8,0.950319199,0.95989728,0.891720227
49,8,0.950319199,0.949901819,0.891820181
49,8,0.950319199,0.959902048,0.891720179
49,8,0.950319199,0.949911594,0.891820083
49,8,0.950319199,0.969886065,0.891620339
49,6,0.940707721,0.709926367,0.884608457
49,8,0.950319199,0.949867487,0.891820525
49,8,0.950319199,0.94986105,0.891820589
49,8,0.950319199,0.949860811,0.891820591
67,8,0.948503711,0.92989254,0.872204786
49,8,0.950319199,0.979878664,0.891520413
49,8,0.950319199,0.929883718,0.892020362
49,8,0.950319199,0.989895344,0.891420246
49,8,0.950319199,0.949863911,0.89182056
49,8,0.950319199,0.97984767,0.891520723
49,8,0.950319199,0.969865561,0.891620544
49,8,0.950319199,0.929886341,0.892020336
49,8,0.950319199,0.939859152,0.891920608
49,25,0.953078371,2.93965888,0.874681782
49,8,0.950319199,0.949897051,0.891820229
49,8,0.950319199,0.939881086,0.891920389
49,8,0.950319199,0.929931164,0.892019888
49,8,0.950319199,0.979870796,0.891520491
49,8,0.950319199,0.939865351,0.891920546
49,8,0.950319199,0.929888248,0.892020317
66,8,0.945101305,0.93986392,0.869702666
49,8,0.950319199,0.939905882,0.891920141
49,8,0.950319199,0.93990469,0.891920153
49,8,0.950319199,0.939863205,0.891920567
49,8,0.950319199,0.940006733,0.891919132
49,28,0.953187987,3.2295959,0.871892028
49,8,0.950319199,0.929900408,0.892020195
49,8,0.950319199,0.929887772,0.892020322
24,8,0.610130382,0.949882269,0.576631559
49,8,0.950319199,0.929881334,0.892020386
49,8,0.950319199,0.949884892,0.891820351
49,8,0.950319199,0.949926138,0.891819938
49,4,0.914967729,0.49992156,0.860968514
49,8,0.950319199,0.959864378,0.891720556
68,8,0.953022013,0.979872942,0.875223283
70,8,0.954202675,0.939401388,0.874808661
49,8,0.950319199,0.919873953,0.89212046
49,4,0.914967729,0.469928741,0.861268442
49,8,0.950319199,0.93383503,0.891980849
62,8,0.952794046,0.929876089,0.881495285
49,8,0.950319199,0.979877949,0.89152042
70,8,0.954202675,1.019874096,0.874003934
70,4,0.946876606,0.469941139,0.872177195
49,8,0.950319199,0.939879417,0.891920405
49,8,0.950319199,0.909887314,0.892220326
49,8,0.950319199,0.919880629,0.892120393
49,4,0.914967729,0.459991217,0.861367817
49,4,0.914967729,0.469945431,0.861268275
49,8,0.950319199,0.919882298,0.892120376
70,8,0.954202675,0.929900885,0.874903666
49,8,0.950319199,0.929899931,0.8920202
49,8,0.950319199,1.021933794,0.891099862
49,4,0.914967729,0.511209726,0.860855632
49,8,0.950319199,0.941471338,0.891904486
49,4,0.914967729,0.465254784,0.861315181
49,8,0.950319199,0.939435482,0.891924845
49,8,0.950319199,0.921904087,0.892100159
49,4,0.914967729,0.479809761,0.861169632
49,8,0.950319199,0.937534332,0.891943856
49,8,0.950319199,0.91075325,0.892211667
49,1,0.826831096,0.120051861,0.776630577
25,8,0.586045529,0.940838099,0.551637148
49,8,0.950319199,0.920532465,0.892113875
49,8,0.950319199,0.926584482,0.892053355
49,8,0.950319199,0.919955492,0.892119645
49,4,0.914967729,0.46012044,0.861366525
49,8,0.950319199,0.926296949,0.89205623
25,8,0.586045529,0.947937965,0.551566149
25,4,0.549147426,0.470022678,0.5194472
49,8,0.950319199,0.919914007,0.892120059
49,4,0.914967729,0.473671436,0.861231015
49,4,0.914967729,0.470303297,0.861264696
49,8,0.950319199,0.920642138,0.892112778
49,8,0.950319199,0.920503139,0.892114168
49,8,0.950319199,0.910366535,0.892215534
49,4,0.914967729,0.48032856,0.861164444
49,8,0.950319199,0.930495262,0.892014247
49,8,0.950319199,0.920722246,0.892111977
49,8,0.950319199,0.920626163,0.892112938
49,8,0.950319199,0.914732218,0.892171877
49,38,0.952710841,4.372067928,0.859990162
49,13,0.953917476,1.486580372,0.890051672
49,8,0.950319199,0.920409203,0.892115107
49,25,0.953078371,2.860443592,0.875473935
49,8,0.950319199,0.910302401,0.892216175
49,13,0.953917476,1.496141672,0.889956059
49,8,0.950319199,0.920468807,0.892114511
49,6,0.940707721,0.690482378,0.884802897
49,8,0.950319199,0.9104774,0.892214425
49,8,0.950319199,0.920734167,0.892111858
49,8,0.950319199,0.910430193,0.892214898
49,8,0.950319199,0.920472622,0.892114473
49,13,0.953917476,1.501199245,0.889905483
49,29,0.953573753,3.302450895,0.871549244
16,13,0.460974907,1.491196394,0.430062943
49,13,0.953917476,1.500724077,0.889910235
49,13,0.953917476,1.500936747,0.889908108
49,13,0.953917476,1.510611534,0.88981136
49,13,0.953917476,1.490870953,0.890008766
49,13,0.953917476,1.491039515,0.890007081
32,13,0.795534971,1.481129646,0.748723675
49,25,0.953078371,2.881725788,0.875261113
49,13,0.953917476,1.486991167,0.890047564
93,13,0.952718608,1.500988483,0.844708723
49,13,0.953917476,1.490521193,0.890012264
49,13,0.953917476,1.490698099,0.890010495
77,13,0.954651169,1.501168251,0.862639486
49,13,0.953917476,1.500447273,0.889913003
49,13,0.953917476,1.490682602,0.89001065
49,4,0.914967729,0.470334053,0.861264389
49,39,0.952870332,4.45307827,0.859339549
49,13,0.953917476,1.481104612,0.89010643
49,13,0.953917476,1.5011127,0.889906349
49,13,0.953917476,1.490944624,0.89000803
44,13,0.912346854,1.480681181,0.853540042
49,13,0.953917476,1.500465393,0.889912822
47,13,0.953708294,1.49054122,0.891802882
49,13,0.953917476,1.491078854,0.890006687
49,13,0.953917476,1.481223583,0.89010524
49,13,0.953917476,1.530561447,0.889611861
49,13,0.953917476,1.491240978,0.890005066
49,8,0.950319199,0.912501335,0.892194186
77,8,0.951703341,0.920456886,0.865498772
49,12,0.95421746,1.38043499,0.89141311
49,13,0.953917476,1.511147976,0.889805996
49,13,0.953917476,1.491123915,0.890006237
77,41,0.949069694,4.740908384,0.824660611
77,31,0.949367894,3.571763754,0.836650256
49,13,0.953917476,1.490726471,0.890010211
77,30,0.94914784,3.461770296,0.837530137
77,8,0.951703341,0.920450926,0.865498831
49,13,0.953917476,1.490970612,0.89000777
49,8,0.950319199,0.920428038,0.892114919
49,13,0.953917476,1.510782242,0.889809653
49,13,0.953917476,1.48121047,0.890105371
49,13,0.953917476,1.520730734,0.889710168
49,8,0.950319199,0.950372458,0.891815475
49,13,0.953917476,1.50104475,0.889907028
49,13,0.953917476,1.510859251,0.889808883
49,13,0.953917476,1.480796576,0.89010951
49,8,0.950319199,0.950123072,0.891817969
49,8,0.950319199,0.93045187,0.892014681
49,14,0.954057666,1.727953196,0.887778134
49,9,0.95288055,1.030792236,0.893572628
49,8,0.950319199,0.910732508,0.892211874
49,8,0.950319199,0.920546293,0.892113737
49,8,0.950319199,0.91053915,0.892213808
49,13,0.953917476,1.490697861,0.890010497
49,9,0.95288055,1.100722551,0.892873325
49,8,0.950319199,0.960555553,0.891713644
49,9,0.95288055,1.020569086,0.893674859
49,9,0.95288055,1.040593386,0.893474616
49,8,0.950319199,0.910377741,0.892215422
49,8,0.950319199,0.910454512,0.892214654
49,8,0.950319199,0.91052413,0.892213958
49,13,0.953917476,1.487331152,0.890044164
96,8,0.947317443,0.930486679,0.842012577
49,8,0.950319199,0.920698881,0.892112211
49,9,0.95288055,1.050734282,0.893373207
49,6,0.940707721,0.690536261,0.884802358
49,8,0.950319199,0.920652866,0.892112671
49,13,0.953917476,1.48110342,0.890106442
49,9,0.95288055,1.03054595,0.893575091
49,9,0.95288055,1.0508039,0.893372511
49,9,0.95288055,1.030340433,0.893577146
