F1 Score,Recall,Precision,Accuracy,Average Error,MSE,RMSE,Elapsed Time
0.78454938,0.784939878,0.829422549,0.784939878,0.960899509,7.557981614,2.728056413,0.51235
0.944674778,0.946185689,0.957052955,0.946185689,0.341707569,1.837870297,1.222765448,0.566689968
0.952613686,0.954267692,0.963870076,0.954267692,0.346862678,2.191822481,1.278983105,0.56992
0.953917684,0.955450424,0.9654282,0.955450424,0.331122284,2.216476048,1.343462968,0.569946527
0.954151596,0.955450424,0.965578494,0.955450424,0.337259214,2.111950245,1.253519284,0.570251465
0.953612622,0.955253302,0.964168417,0.955253302,0.346487321,2.233661409,1.280751786,0.569929361
0.952056212,0.953479204,0.963869969,0.953479204,0.343648138,2.128037713,1.250779924,0.53993392
0.953727148,0.955253302,0.96507998,0.955253302,0.337682732,2.150203542,1.273937561,0.529931784
0.953695194,0.95505618,0.965357202,0.95505618,0.343775078,2.244870033,1.327686464,0.519935131
0.953493132,0.95505618,0.965198469,0.95505618,0.346791063,2.25012659,1.32921347,0.539931774
0.952947678,0.954661936,0.964304194,0.954661936,0.346062412,2.195083855,1.287248231,0.50993824
0.953344681,0.954859058,0.964915134,0.954859058,0.347855155,2.211434488,1.294541736,0.529947758
0.953344681,0.954859058,0.964915134,0.954859058,0.347855155,2.211434488,1.294541736,0.52995038
0.953344681,0.954859058,0.964915134,0.954859058,0.347855155,2.211434488,1.294541736,0.509915113
0.953344681,0.954859058,0.964915134,0.954859058,0.347855155,2.211434488,1.294541736,0.509934664
0.953344681,0.954859058,0.964915134,0.954859058,0.347855155,2.211434488,1.294541736,0.519935608
0.953344681,0.954859058,0.964915134,0.954859058,0.347855155,2.211434488,1.294541736,0.529933214
0.953344681,0.954859058,0.964915134,0.954859058,0.347855155,2.211434488,1.294541736,0.539934158
0.953344681,0.954859058,0.964915134,0.954859058,0.347855155,2.211434488,1.294541736,0.509936094
0.953344681,0.954859058,0.964915134,0.954859058,0.347855155,2.211434488,1.294541736,0.509956837
0.953344681,0.954859058,0.964915134,0.954859058,0.347855155,2.211434488,1.294541736,0.5199368
0.953344681,0.954859058,0.964915134,0.954859058,0.347855155,2.211434488,1.294541736,0.519932747
0.953344681,0.954859058,0.964915134,0.954859058,0.347855155,2.211434488,1.294541736,0.519936323
0.953344681,0.954859058,0.964915134,0.954859058,0.347855155,2.211434488,1.294541736,0.539933443
0.953344681,0.954859058,0.964915134,0.954859058,0.347855155,2.211434488,1.294541736,0.539926529
0.953344681,0.954859058,0.964915134,0.954859058,0.347855155,2.211434488,1.294541736,0.509932518
0.953344681,0.954859058,0.964915134,0.954859058,0.347855155,2.211434488,1.294541736,0.549930096
0.953344681,0.954859058,0.964915134,0.954859058,0.347855155,2.211434488,1.294541736,0.499917746
